關卡,原答案,修改欄位,原內容,新內容,原因
59,馬到成功,釋義,比喻一開始就取得成功。,戰馬一到就取得勝利，形容成功迅速而順利。,提示含「成功」；釋義不精確；出處《小尉遲》無法確認，教育部成語典書證為鄭廷玉《楚昭公》
59,馬到成功,出處,元・無名氏《小尉遲》,元・鄭廷玉《楚昭公》,提示含「成功」；釋義不精確；出處《小尉遲》無法確認，教育部成語典書證為鄭廷玉《楚昭公》
60,鼠目寸光,提示,目光短淺,見識短淺,提示含「目光」
61,一帆風順,提示,旅途順利,航行沒有阻礙,提示含「順」
62,一見鍾情,提示,初次見面就愛上,初次相遇就愛上,提示含「見」
63,一石二鳥,圖謎,1️⃣🪨2️⃣🐦,2️⃣👕💨🍃,提示「一舉兩得」本身是題目答案；「一石二鳥」為外來語，非傳統成語且與一箭雙鵰重複
63,一石二鳥,答案,一石二鳥,兩袖清風,提示「一舉兩得」本身是題目答案；「一石二鳥」為外來語，非傳統成語且與一箭雙鵰重複
63,一石二鳥,提示,一舉兩得,為官廉潔,提示「一舉兩得」本身是題目答案；「一石二鳥」為外來語，非傳統成語且與一箭雙鵰重複
63,一石二鳥,釋義,比喻做一件事而得到兩種好處。,比喻為官廉潔，除了衣袖中的清風外一無所有。,提示「一舉兩得」本身是題目答案；「一石二鳥」為外來語，非傳統成語且與一箭雙鵰重複
64,一清二楚,提示,非常清楚,非常明白,提示含「清楚」
65,三長兩短,圖謎,3️⃣📏2️⃣✂️,3️⃣📏2️⃣🤏⚰️,✂️剪刀不能表示「短」
67,五顏六色,提示,色彩繁多,繽紛多彩,提示含「色」
71,十面埋伏,提示,到處是伏兵,四周都有敵軍藏著,提示含「伏」
73,千鈞一髮,圖謎,1000⚖️1️⃣〰️,🪨🪨⚖️1️⃣🦱😱,「1000」是ASCII數字；〰️表示髮太牽強；提示太空泛
73,千鈞一髮,提示,極其危險,重物懸於細絲,「1000」是ASCII數字；〰️表示髮太牽強；提示太空泛
75,萬眾一心,提示,團結一致,大家團結,提示含「一」
77,一毛不拔,圖謎,1️⃣〰️🚫✋,1️⃣🦱🚫✋,〰️表示毛太牽強
78,一舉兩得,提示,一次得到兩個好處,單次行動雙重收穫,提示含「一」「兩」「得」
79,一鳴驚人,提示,突然有驚人成就,平時沉默突然出色,提示含「驚人」
80,一葉知秋,提示,見微知著,由小見大,提示含「知」
86,月明星稀,提示,月夜,烏鵲南飛的夜晚,提示「月夜」太空泛且含「月」
87,花好月圓,提示,美好圓滿,新婚祝賀語,提示含「好」「圓」
88,春暖花開,提示,春天景色,萬物復甦氣候宜人,提示含「春」且太空泛
89,秋高氣爽,提示,秋天天氣,晴空萬里很涼快,提示含「秋」「氣」且太空泛
96,飲水思源,提示,不忘本,不忘記恩惠的來處,提示與釋義相同
96,飲水思源,釋義,比喻不忘本。,喝水時想到水的來源，比喻不忘本。,提示與釋義相同
97,火眼金睛,圖謎,🔥👁️🟡👁️,🔥👁️🪙👁️,🟡代表金太牽強
99,如火如荼,提示,氣勢旺盛,軍陣紅白壯盛,提示與釋義相同
101,對症下藥,提示,針對問題解決,依病情開處方,提示含「對」
104,心曠神怡,提示,心情舒暢,胸懷開闊愉快,提示含「心」
105,心有靈犀,提示,心意相通,彼此默契相通,提示含「心」
106,心驚膽跳,圖謎,❤️😱🟢🦘,❤️😱💓🦘,🟢代表膽太牽強；提示與釋義相同
106,心驚膽跳,提示,非常害怕,害怕到發抖,🟢代表膽太牽強；提示與釋義相同
108,眉清目秀,提示,相貌清秀,容貌俊美,提示含「清」「秀」
110,耳目一新,圖謎,👂👀1️⃣🆕,👂👀✨🔄,🆕含英文字母；提示含「新」
110,耳目一新,提示,感到新鮮,感受煥然不同,🆕含英文字母；提示含「新」
113,手忙腳亂,提示,慌張忙亂,慌張沒有條理,提示含「忙」「亂」
115,足智多謀,提示,很有智謀,聰明有計策,提示含「智」「謀」
116,頭頭是道,圖謎,🗣️🗣️✅🛣️,👤👤✅🛣️,🗣️（說話）不能表示「頭」
117,面紅耳赤,提示,臉紅,臉頰發燙,提示含「紅」
118,目瞪口呆,提示,驚呆了,驚訝得愣住,提示含「呆」
119,愛不釋手,提示,非常喜愛,喜歡到一直握著,提示含「愛」
120,捧腹大笑,提示,笑得很厲害,抱著肚子樂,提示含「笑」
122,喜出望外,提示,意外高興,意想不到的高興,提示含「外」
125,怒髮衝冠,提示,極度憤怒,氣到極點,提示含「怒」
126,膽小如鼠,圖謎,🟢🤏🟰🐭,😨🤏🟰🐭,🟢代表膽太牽強；提示含「膽」「小」
126,膽小如鼠,提示,非常膽小,非常怯懦,🟢代表膽太牽強；提示含「膽」「小」
127,一步登天,提示,一下達到極高,瞬間達到高位,提示含「一」
128,步步高升,提示,職位不斷提升,官位越做越大,提示含「升」
129,腳踏實地,提示,做事踏實,做事穩健認真,提示含「踏」「實」
137,氣壯如牛,提示,氣勢很足,威勢十足,提示含「氣」
140,雞毛蒜皮,圖謎,🐔🪶🧄🥔,🐔🪶🧄🤏,🥔馬鈴薯與「蒜皮」無關
142,呆若木雞,提示,發愣,嚇得僵住不動,提示「發愣」太空泛
144,狐朋狗友,提示,不正派的朋友,不正派的玩伴,提示含「朋友」
145,狼心狗肺,提示,心腸狠毒,兇狠忘恩負義,提示含「心」
146,過街老鼠,圖謎,🚶🛣️👴🐭,🐭🚶🛣️👥😡,👴誤把「老鼠」的老當成老人
147,投鼠忌器,提示,有所顧忌,怕傷及旁物,提示含「忌」
148,虎背熊腰,圖謎,🐯🔙🐻〰️,🐯🐻💪🧍,🔙含英文字母；〰️表示腰牽強
150,生龍活虎,提示,活潑有生氣,精力充沛,提示含「生」「活」
152,望子成龍,提示,期盼孩子成才,盼孩兒出人頭地,提示含「子」「成」
153,龍馬精神,提示,精神旺盛,活力充沛,提示含「精」「神」
154,驚弓之鳥,提示,受過驚嚇,受過嚇就怕動靜,提示含「驚」
155,笨鳥先飛,提示,能力差先行動,能力差提早行動,提示含「先」
156,鴉雀無聲,圖謎,🐦‍⬛🐦🔇,🐦🐦🔇🤫,🐦‍⬛為Unicode 15
157,鵬程萬里,圖謎,🦅🛣️🔢,🦅✈️🛣️🌏,🔢代表萬里太牽強；提示含「程」
157,鵬程萬里,提示,前程遠大,前途遠大,🔢代表萬里太牽強；提示含「程」
158,門可羅雀,提示,冷清,訪客稀少到能捕鳥,提示「冷清」太空泛
159,魚目混珠,圖謎,🐟👁️🔀⚪,🐟👁️🔀💎,⚪代表珠太牽強
162,沉魚落雁,圖謎,🐟⬇️🪿⬇️,🐟⬇️🦆⬇️👸,🪿為Unicode 15
165,蜻蜓點水,圖謎,🪰💧👆,🦋💧👆🌊,🪰蒼蠅不是蜻蜓；提示與釋義相同
165,蜻蜓點水,提示,做事膚淺,輕輕一碰就離開,🪰蒼蠅不是蜻蜓；提示與釋義相同
166,作繭自縛,提示,自己害自己,反而困住己身,提示含「自」
169,瓜熟蒂落,提示,時機成熟,條件到了自然成功,提示含「熟」
171,開花結果,提示,有了成果,努力有了收穫,提示含「果」
172,枝繁葉茂,提示,興旺,家族人丁興盛,提示「興旺」太空泛
173,根深蒂固,圖謎,🌳⬇️🔩,🌳⬇️⬇️🔒,🔩螺栓與「蒂」無關
174,落葉歸根,圖謎,🍂⬇️🌳🫚,🍂⬇️🌳🏠,🫚為Unicode 15
178,鏡花水月,提示,虛幻,看得到摸不著,提示「虛幻」太空泛
182,背水一戰,圖謎,🔙🌊1️⃣⚔️,🌊🧍⚔️1️⃣,🔙含英文字母；提示含「一」「戰」
182,背水一戰,提示,決一死戰,身後是河拚死鬥,🔙含英文字母；提示含「一」「戰」
183,臨陣磨槍,提示,事到臨頭才準備,事到頭才準備,提示含「臨」
187,旗開得勝,圖謎,🚩🔓🏆,🚩🎌🏆,🔓與旗開無關；提示含「開」
187,旗開得勝,提示,一開始就成功,剛出兵便贏,🔓與旗開無關；提示含「開」
189,天下無雙,提示,獨一無二,世上找不到第二個,提示「獨一無二」本身是題目答案且含「無」
190,天長地久,提示,永久不變,永恆不變,提示含「久」
191,天衣無縫,提示,完美無缺,完美沒破綻,提示含「無」
194,頂天立地,圖謎,🔝🌌🧍🌍,🧍⬆️🌌⬇️🌍,🔝含英文字母
195,天真爛漫,提示,純真,孩子般純樸,提示「純真」太空泛且含「真」
196,日新月異,圖謎,☀️🆕🌙🔀,☀️✨🌙🔀,🆕含英文字母
197,日積月累,提示,長時間累積,長期慢慢增加,提示含「積」「累」
202,千辛萬苦,圖謎,🌶️😣🥵🧗,1️⃣0️⃣0️⃣0️⃣🌶️😣🧗,圖謎缺少「千」「萬」數量線索；提示與釋義幾乎相同
202,千辛萬苦,提示,非常艱難,歷盡磨難的過程,圖謎缺少「千」「萬」數量線索；提示與釋義幾乎相同
205,從頭到尾,圖謎,🙆➡️🦶🔚,👤⬆️➡️🦶⬇️,🙆 無法聯想到「頭」
207,一模一樣,提示,完全相同,如複製貼上,提示與釋義幾乎相同
214,美中不足,圖謎,😊💯➖,👸✨🤏➖,😊無法表達「美」，圖謎牽強
217,亂七八糟,提示,毫無秩序,東西散落滿地,提示與釋義相同
224,萬事如意,圖謎,🧧🎊😊✨,🧧📋📋✅😊,圖謎未表現「事」，易誤導為其他新年賀詞；提示太空泛
224,萬事如意,提示,新年祝福,樣樣稱心,圖謎未表現「事」，易誤導為其他新年賀詞；提示太空泛
230,全神貫注,提示,非常專心,聚焦不分心,提示與釋義相同
233,白髮蒼蒼,提示,年老,滿頭銀絲,提示太空泛
237,成千上萬,提示,數量極多,多到數不清,提示與釋義相同
240,單槍匹馬,圖謎,1️⃣🔫🐎,1️⃣🔱1️⃣🐎,🔫 是水槍，與古代兵器「槍」不符
241,近朱者赤,提示,環境影響人,跟誰像誰,提示與釋義幾乎相同
242,猶豫不決,提示,遲疑,腦中兩派拉鋸,提示與釋義幾乎相同且空泛
245,一文不值,提示,毫無用處,白送都沒人要,提示與釋義幾乎相同
247,十萬火急,提示,非常緊迫,刻不容緩的軍令,提示與釋義幾乎相同
249,實事求是,出處,《漢書・河間獻王傳》,《漢書・景十三王傳》,《漢書》無〈河間獻王傳〉獨立篇名，應為〈景十三王傳〉
250,出口成章,提示,文思敏捷,說話像作文,提示與釋義相同
256,南轅北轍,提示,背道而馳,車往反方向駕,提示「背道而馳」本身也是答案
264,德高望重,提示,受人尊敬,人品聲譽俱佳,提示太空泛
268,忠言逆耳,圖謎,💊😖👂,🫡🗣️👂😖,提示「良藥苦口」本身也是答案；💊圖謎易誤導為良藥苦口；出處：教育部成語典典源為《韓非子・外儲說左上》「忠言拂於耳，而明主聽之」；《史記・留侯世家》僅列為參考 https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=513&webMd=2&la=0
268,忠言逆耳,提示,良藥苦口,好話不中聽,提示「良藥苦口」本身也是答案；💊圖謎易誤導為良藥苦口；出處：教育部成語典典源為《韓非子・外儲說左上》「忠言拂於耳，而明主聽之」；《史記・留侯世家》僅列為參考 https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=513&webMd=2&la=0
268,忠言逆耳,出處,《史記・留侯世家》,《韓非子・外儲說左上》,提示「良藥苦口」本身也是答案；💊圖謎易誤導為良藥苦口；出處：教育部成語典典源為《韓非子・外儲說左上》「忠言拂於耳，而明主聽之」；《史記・留侯世家》僅列為參考 https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=513&webMd=2&la=0
277,同甘共苦,提示,一起承擔,有難一起扛,提示太空泛
295,居安思危,提示,未雨綢繆,太平時也備戰,提示「未雨綢繆」本身也是答案
296,迫不及待,提示,心急如焚,急到一秒也難耐,提示「心急如焚」本身也是答案
308,濫竽充數,提示,混在其中,南郭先生吹奏,提示太空泛
309,春光明媚,提示,景色宜人,百花盛開好景致,提示太空泛
313,目不識丁,出處,《舊唐書・張弘靖傳》,《舊唐書・張延賞傳》,張弘靖附於〈張延賞傳〉，無獨立〈張弘靖傳〉
320,孜孜不倦,提示,勤奮努力,埋頭苦讀沒喊累,提示太空泛
329,痛哭流涕,提示,淚如雨下,傷心得大聲嚎啕,提示「淚如雨下」本身也是答案
330,頭破血流,圖謎,🙆🩸🌊,🤕💥🩸🌊,🙆 無法聯想到「頭」、看不出「破」
337,青梅竹馬,提示,兩小無猜,童年玩伴,提示「兩小無猜」本身也是答案
346,覆水難收,提示,無法挽回,潑出去就沒了,提示與釋義相同
354,價值連城,提示,極為珍貴,和氏璧的傳說,提示與釋義完全相同
361,牛郎織女,圖謎,🐂🧑‍🌾💞🧵,👄🍯🗡️,「牛郎織女」是神話人物名稱而非成語；提示「天各一方」本身也是答案
361,牛郎織女,答案,牛郎織女,口蜜腹劍,「牛郎織女」是神話人物名稱而非成語；提示「天各一方」本身也是答案
361,牛郎織女,提示,天各一方,嘴甜心毒,「牛郎織女」是神話人物名稱而非成語；提示「天各一方」本身也是答案
361,牛郎織女,釋義,比喻分居兩地的夫妻或情侶。,嘴上說得好聽，內心卻陰險狠毒。,「牛郎織女」是神話人物名稱而非成語；提示「天各一方」本身也是答案
361,牛郎織女,出處,,《資治通鑑・唐紀》,「牛郎織女」是神話人物名稱而非成語；提示「天各一方」本身也是答案
370,溫故知新,提示,重習舊課,複習悟出心得,提示只講複習，漏掉獲得新體會的關鍵
372,眉開眼笑,提示,喜形於色,樂得合不攏嘴,提示「笑逐顏開」本身也是答案
375,山窮水盡,提示,走投無路,無路可退的困境,提示「走投無路」本身也是答案
379,一丘之貉,出處,《漢書・楊惲傳》,《漢書・楊敞傳》,楊惲附於〈楊敞傳〉，無獨立〈楊惲傳〉
380,淚流滿面,圖謎,😭💧🌊🙂,😭💧💧😢,🙂 與悲傷相反，會誤導
387,兩敗俱傷,提示,雙方受損,誰都沒占便宜,提示與釋義幾乎相同
391,招財進寶,提示,吉祥祝福,春聯常見吉祥話,提示太空泛
393,貨真價實,提示,童叟無欺,商品不摻假,提示「童叟無欺」本身也是答案
401,一朝一夕,提示,短暫時間,從早到晚之間,提示與釋義幾乎相同
407,傾盆大雨,提示,水勢猛烈,天上像在倒水,提示太空泛
409,埋頭苦幹,圖謎,🙇📚💪,🙇⛏️💪💦,📚易誤導為埋頭苦讀
424,不計其數,提示,非常多,多如繁星,提示太空泛
433,焦頭爛額,圖謎,🙆🔥🙆‍♂️💦,🙆🔥🤕😫,圖謎🙆‍♂️💦難以對應焦、爛
447,淚如雨下,提示,極度悲傷,哭得滿臉濕透,提示太空泛
448,面面相覷,圖謎,🙂😶🙂😶,👀😳↔️😳👀,原圖謎🙂😶看不出互相對望
450,精衛填海,提示,意志堅定,神鳥銜石子,提示太空泛
458,青山綠水,提示,美好風景,風景如畫,提示太空泛
465,歡天喜地,提示,非常高興,樂得手舞足蹈,提示太空泛
471,省吃儉用,提示,節約生活,一分錢掰兩半花,提示與釋義重複
481,走投無路,提示,山窮水盡,四面都是死胡同,提示「山窮水盡」是另一題答案
483,脫穎而出,圖謎,🧵📌👜➡️✨,📌👜➡️✨,🧵多餘易誤導；釋義不完整
483,脫穎而出,釋義,比喻才能全部顯露出來。,錐尖穿出布袋，比喻才能完全顯露出來；現多指在眾人中表現突出。,🧵多餘易誤導；釋義不完整
489,堆積如山,提示,數量極多,東西疊得老高,提示與釋義重複
499,忐忑不安,提示,七上八下,心裡像打鼓,提示「七上八下」是另一題答案
506,專心致志,提示,全神貫注,弈秋教下棋,提示「全神貫注」是另一題答案
515,食不知味,提示,心事重重,嚼飯如嚼蠟,提示與釋義重複
520,其樂融融,提示,非常歡喜和睦,全家和睦歡欣,提示與釋義幾乎相同
535,洗心革面,提示,改過自新,徹底悔悟,提示「改過自新」是另一題答案
549,閒雲野鶴,圖謎,☁️🌿🦩,☁️🍃🐦🏞️,🦩紅鶴代表鶴很牽強
553,蓬頭垢面,圖謎,💇💨🙈,🧑‍🦱🌪️😖🧼❌,🙈與蓬頭垢面無關
559,愁眉不展,提示,心事重重,臉上布滿憂色,提示與釋義重複
565,刻不容緩,提示,十萬火急,火燒眉毛般急,提示「十萬火急」是另一題答案
571,束手無策,提示,一籌莫展,想不出辦法,提示「一籌莫展」是另一題答案
572,灰飛煙滅,出處,宋・蘇軾〈念奴嬌・赤壁懷古〉,,最早出處為唐譯《圓覺經》「火出木盡，灰飛煙滅」，蘇軾詞是後世用例，無法確認故清空
583,迫在眉睫,提示,十萬火急,急事已到眼前,提示「十萬火急」是另一題答案
589,膽大包天,圖謎,🫀🌌📦,🦁😤🌌📦,🫀心臟代表膽很牽強
600,空中樓閣,提示,虛幻不實,蜃氣幻象,提示太空泛
602,冰清玉潔,提示,品行高尚,如霜似璧般無瑕,提示與釋義幾乎相同，太空泛
603,燈紅酒綠,提示,奢靡生活,夜宴霓虹繁華,提示與釋義幾乎相同
608,隨波逐流,提示,沒有主見,水往哪漂跟著去,提示與釋義相同
609,春風化雨,提示,良好教育,師長教誨如甘霖,提示與釋義幾乎相同
614,天災人禍,提示,各種不幸,颱風地震加戰亂,提示太空泛
620,虛懷若谷,提示,非常謙遜,胸襟如深壑,提示與釋義相同
622,三生有幸,提示,非常難得的福氣,初次見面的客套話,提示與釋義幾乎相同
632,浪子回頭,提示,迷途知返,敗家兒郎醒悟向善,提示「迷途知返」是另一題答案
635,千差萬別,提示,各不相同,樣樣不一樣,提示與釋義幾乎相同
645,日薄西山,出處,晉・李密〈陳情表〉,《漢書・揚雄傳上》,出處：教育部成語典釋義「語出《漢書．卷八七．揚雄傳上》」（〈反離騷〉：「臨汨羅而自隕兮，恐日薄於西山。」）；李密〈陳情表〉僅列書證。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=521&webMd=2&la=1
647,眼冒金星,提示,暈眩,頭部受擊後的暈眩,提示「暈眩」太空泛且等同釋義
650,節衣縮食,提示,省吃儉用,省下吃穿的開銷,提示「省吃儉用」是另一題答案
666,推波助瀾,出處,隋・王通《中說・問易》,南朝宋・鮑照〈觀漏賦〉,出處：教育部成語典典源為鮑照〈觀漏賦〉「既河源之莫壅，又吹波而助瀾」（原作「吹波助瀾」）；王通《中說》僅列書證。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=634&webMd=2&la=1
674,推己及人,提示,將心比心,換位替他著想,提示「將心比心」是另一題答案
681,說一不二,提示,言出必行,講話算數絕無反悔,提示「言出必行」是另一題答案
685,狗仗人勢,提示,狐假威風,倚靠主子欺負弱者,提示「狐假威風」是自造詞，易混淆狐假虎威
686,富可敵國,圖謎,💰🟰🏳️,👤💰⚖️👑🏯,🏳️ 代表「國」牽強
693,相濡以沫,提示,患難與共,涸泉魚兒吐唾互潤,提示「患難與共」是另一題答案
699,葉公好龍,提示,口是心非,口頭說愛真來卻怕,提示「口是心非」是另一題答案
704,瞬息萬變,圖謎,👁️⚡🔄🔟,😉⚡🔄🔄🔄,用 🔟 代表「萬」牽強
705,嚴以律己,圖謎,📏🧍❗,👴💪📈,「嚴以律己」是「嚴以律己，寬以待人」的半句，非獨立成語
705,嚴以律己,答案,嚴以律己,老當益壯,「嚴以律己」是「嚴以律己，寬以待人」的半句，非獨立成語
705,嚴以律己,提示,自我要求高,年長更強,「嚴以律己」是「嚴以律己，寬以待人」的半句，非獨立成語
705,嚴以律己,釋義,以嚴格的標準約束自己。,年紀雖老而志氣更加旺盛。,「嚴以律己」是「嚴以律己，寬以待人」的半句，非獨立成語
705,嚴以律己,出處,,《後漢書・馬援傳》,「嚴以律己」是「嚴以律己，寬以待人」的半句，非獨立成語
715,寒來暑往,出處,南朝梁・周興嗣《千字文》,《易經・繫辭下》,出處：教育部成語典「暑往寒來」條（也作寒來暑往）典源為《易經．繫辭下》「寒往則暑來，暑往則寒來」；《千字文》為後出引用。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=24947&webMd=1&la=0
716,渾身是膽,圖謎,🧍💪🫀💯,🧍↕️💯🦁💪,🫀 是心臟，不能代表「膽」
726,海底撈月,提示,白費力氣,水中倒影抓不到,提示與釋義相同
731,財源滾滾,釋義,形容錢財來源源源不斷。,形容錢財不斷地大量流入。,釋義「來源源源不斷」不通順
736,羊腸小道,圖謎,🐑🫁🤏🛤️,🐑🌀🤏🛤️,🫁 是肺，不能代表「腸」
737,鶴髮童顏,圖謎,🦩👴👶😊,🦢👴➕👶😊,🦩 紅鶴是粉紅色，不能表現白髮的「鶴髮」
753,網開一面,出處,《史記・殷本紀》,《呂氏春秋・孟冬紀・異用》,出處：教育部成語典典源為《呂氏春秋．孟冬紀．異用》湯收網三面、置其一面。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=1522&webMd=2&la=1
754,磨刀霍霍,釋義,形容磨刀的聲音，比喻準備行動。,原形容磨刀時發出的聲響，今多比喻準備動手行兇或採取行動。,釋義不精確
775,鳥盡弓藏,提示,過河拆橋,功成後功臣遭棄,提示「過河拆橋」是另一題答案
782,寥寥無幾,圖謎,🔢🤏👤👤,🏟️👤👤🤏,🔢 意思不明
790,見錢眼開,提示,貪財,看到鈔票就笑,提示「貪財」太空泛且等同釋義
794,東山再起,出處,《晉書・謝安傳》,南朝宋・劉義慶《世說新語・排調》,出處：教育部成語典「典出南朝宋．劉義慶《世說新語．排調》」，未引《晉書．謝安傳》。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=-52&webMd=1&la=1
801,枯木逢春,提示,重獲生機,老樹發新芽,提示與釋義幾乎相同
803,斬草除根,提示,徹底清理,免留後患,提示太空泛、近似釋義
804,百口莫辯,提示,難以解釋,蒙冤難洗清,提示與釋義重疊；釋義不夠精確
804,百口莫辯,釋義,形容無論怎麼解釋也說不清楚。,即使有一百張嘴也無法辯白，形容蒙受冤屈而無法澄清。,提示與釋義重疊；釋義不夠精確
806,一刻千金,提示,時間寶貴,春宵短暫可貴,提示與釋義相同
812,推心置腹,圖謎,🫴❤️➡️🫃,🫴❤️➡️🧍🤝,圖謎用🫃（懷孕男子）代表「腹」牽強怪異
827,程門立雪,提示,尊師重道,楊時候師,提示「尊師重道」是另一題答案
834,桃紅柳綠,提示,春光明媚,粉花翠枝,提示「春光明媚」是另一題答案
841,春色滿園,提示,花團錦簇,關不住的美景,提示「花團錦簇」是另一題答案
842,針鋒相對,圖謎,📍⚔️📍,🪡↔️🪡⚔️,圖謎用📍代表「針」牽強
849,黃袍加身,提示,登上帝位,陳橋兵變,提示與釋義相同
854,江郎才盡,圖謎,🧑‍🎨✍️🪫,🌊👨✍️🪫,圖謎缺少「江」的意象，難以猜出；出處：教育部成語典典源為鍾嶸《詩品．卷中．齊光祿江淹》「故世傳江淹才盡」；《南史．江淹傳》僅列參考。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=-14&webMd=2&la=1
854,江郎才盡,出處,《南史・江淹傳》,南朝梁・鍾嶸《詩品・卷中・齊光祿江淹》,圖謎缺少「江」的意象，難以猜出；出處：教育部成語典典源為鍾嶸《詩品．卷中．齊光祿江淹》「故世傳江淹才盡」；《南史．江淹傳》僅列參考。https://dict.idioms.moe.edu.tw/idiomView.jsp?ID=-14&webMd=2&la=1
866,別開生面,提示,獨樹一幟,另創新局,提示「獨樹一幟」是另一題答案
872,見縫插針,圖謎,👀🕳️📌,👀🕳️🪡,圖謎用📌代表「針」牽強
888,滿面春風,圖謎,😊🌸🌬️,💪⚖️💪,重複題：與第325關「春風滿面」重複
888,滿面春風,答案,滿面春風,勢均力敵,重複題：與第325關「春風滿面」重複
888,滿面春風,提示,喜氣洋洋,不分上下,重複題：與第325關「春風滿面」重複
888,滿面春風,釋義,形容心情愉快、滿臉笑容。,雙方力量相等，不分高下。,重複題：與第325關「春風滿面」重複
898,莫逆之交,提示,好朋友,心意相通的摯友,提示「好朋友」太空泛
